"","X.3","X.2","X.1","X","st_id","female","ethniccode","ethniccode_cat","firstgen","international","transfer","lowincomeflag","numgrade","cum_prior_gpa","gpao","crs_name","crs_section","n_section","black_afram","hispanic_latinx","indigenous_am_indian","asian","pacific_islander","crs_year","crs_semq","white","major","stem_major","lettergrade"
"1763",1763,1763,1763,4283,"6810",1,1,1,0,0,1,1,1,2.21,2.3,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"Political Science",0,"D"
"1764",1764,1764,1764,4284,"f8fc",0,1,1,0,0,0,0,4,3.82,3.8,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Mathematics",1,"A"
"1765",1765,1765,1765,4287,"c4c0",0,1,1,0,1,0,1,0,2.58,2.59,"BIO300",201710,693,0,1,0,0,0,2017,"5",0,"Psychology",0,"F"
"1766",1766,1766,1766,4289,"b2ef",1,6,0,0,0,0,0,3,3.03,3.06,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"Psychology",0,"B"
"1767",1767,1767,1767,4293,"abab",1,6,0,0,0,0,0,4,3.82,3.8,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Political Science",0,"A"
"1768",1768,1768,1768,4294,"5ed2",1,6,0,0,0,0,0,3,3.24,3.26,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"Chemistry",1,"B"
"1769",1769,1769,1769,4296,"fc52",1,6,0,0,0,0,0,3.7,3.55,3.48,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"English",0,"A-"
"1770",1770,1770,1770,4297,"2742",1,3,2,0,0,0,0,2.3,2.4,2.64,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"English",0,"C+"
"1771",1771,1771,1771,4298,"c125",1,1,1,0,0,0,1,2,3.23,3.24,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Political Science",0,"C"
"1772",1772,1772,1772,4301,"76f2",1,6,0,0,0,1,0,2,2.68,3.04,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Computer Science",1,"C"
"1773",1773,1773,1773,4302,"45ac",1,3,2,0,0,0,0,4,3.92,3.93,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Psychology",0,"A"
"1774",1774,1774,1774,4303,"7a80",1,3,2,1,1,1,0,4,2.77,2.87,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"English",0,"A"
"1775",1775,1775,1775,4305,"d171",1,3,2,0,0,0,1,2.7,3.35,3.34,"BIO300",201903,623,0,0,0,1,0,2019,"2",0,"Chemistry",1,"B-"
"1776",1776,1776,1776,4307,"4761",0,3,2,1,0,0,0,2.3,2.72,2.69,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Economics",1,"C+"
"1777",1777,1777,1777,4308,"14f3",1,3,2,0,0,0,0,2,3.02,2.96,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Communication",0,"C"
"1778",1778,1778,1778,4309,"34a0",1,1,1,0,0,1,0,2.7,3.27,2.76,"BIO300",201710,693,0,1,0,0,0,2017,"5",0,"Mathematics",1,"B-"
"1779",1779,1779,1779,4310,"7719",1,3,2,0,1,0,0,3,3.44,3.49,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Finance",0,"B"
"1780",1780,1780,1780,4314,"0e0e",1,6,0,0,0,0,0,2.3,3.37,3.31,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Economics",1,"C+"
"1781",1781,1781,1781,4319,"07c2",1,1,1,0,0,0,0,2,3.09,3.11,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Finance",0,"C"
"1782",1782,1782,1782,4321,"2f27",1,3,2,1,1,0,0,3,3.09,3.25,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Economics",1,"B"
"1783",1783,1783,1783,4322,"7526",1,6,0,0,0,0,0,3.7,3.32,3.35,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Economics",1,"A-"
"1784",1784,1784,1784,4324,"1051",1,6,0,1,0,0,1,3.7,3.02,3.01,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Finance",0,"A-"
"1785",1785,1785,1785,4326,"0f48",1,1,1,1,0,0,0,3.3,3.79,3.75,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Physics",1,"B+"
"1786",1786,1786,1786,4327,"7ed7",0,3,2,0,0,0,1,2.3,2.85,2.89,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Psychology",0,"C+"
"1787",1787,1787,1787,4329,"1966",1,1,1,1,0,1,0,3,3.42,3.44,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"Computer Science",1,"B"
"1788",1788,1788,1788,4333,"8a7b",1,3,2,1,0,1,1,4,2.92,3.02,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Economics",1,"A"
"1789",1789,1789,1789,4334,"43c2",1,3,2,0,0,1,0,3,3.24,3.05,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Psychology",0,"B"
"1790",1790,1790,1790,4337,"81e0",0,1,1,1,0,1,0,1,2.08,2,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Economics",1,"D"
"1791",1791,1791,1791,4339,"a234",1,1,1,0,0,0,0,1.7,2.74,2.8,"BIO300",201610,637,0,1,0,0,0,2016,"5",0,"Economics",1,"C-"
"1792",1792,1792,1792,4341,"6cd6",1,1,1,1,0,0,0,4,3.26,3.35,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Chemistry",1,"A"
"1793",1793,1793,1793,4342,"33af",0,6,0,0,0,0,0,3,3.58,3.61,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"Communication",0,"B"
"1794",1794,1794,1794,4343,"364b",0,4,1,1,0,0,1,2.7,3.24,3.25,"BIO300",201703,703,1,0,0,0,0,2017,"2",0,"Computer Science",1,"B-"
"1795",1795,1795,1795,4344,"8f28",0,3,2,0,0,0,0,4,3.28,3.32,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Business Management",0,"A"
"1796",1796,1796,1796,4346,"9118",1,3,2,0,0,1,0,2.3,3.44,3.38,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"Business Management",0,"C+"
"1797",1797,1797,1797,4347,"d451",1,1,1,0,0,0,0,2.7,2.53,2.57,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Political Science",0,"B-"
"1798",1798,1798,1798,4348,"e0dd",0,1,1,0,0,0,0,3,3.91,3.9,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Chemistry",1,"B"
"1799",1799,1799,1799,4350,"f60a",0,6,0,0,0,1,0,4,3.75,3.76,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Finance",0,"A"
"1800",1800,1800,1800,4355,"7eeb",0,3,2,0,0,1,0,4,3.8,3.69,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Physics",1,"A"
"1801",1801,1801,1801,4356,"1925",0,4,1,0,0,0,0,0,2.98,2.98,"BIO300",201803,727,1,0,0,0,0,2018,"2",0,"Chemistry",1,"F"
"1802",1802,1802,1802,4357,"71bd",0,1,1,0,0,0,0,2,2.86,2.89,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Chemistry",1,"C"
"1803",1803,1803,1803,4361,"7800",1,3,2,1,0,1,1,0,NA,3.68,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Biological Sciences",1,"F"
"1804",1804,1804,1804,4362,"0a35",0,1,1,1,1,1,1,2.3,2.61,2.64,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Business Management",0,"C+"
"1805",1805,1805,1805,4364,"5d87",0,6,0,1,0,1,1,0,1.34,1.75,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Physics",1,"F"
"1806",1806,1806,1806,4366,"a927",0,6,0,0,0,1,0,4,3,3,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Psychology",0,"A"
"1807",1807,1807,1807,4367,"b637",0,1,1,1,0,0,0,4,3.4,3.43,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Communication",0,"A"
"1808",1808,1808,1808,4368,"a530",1,3,2,0,0,0,0,1.7,2.31,2.07,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Communication",0,"C-"
"1809",1809,1809,1809,4372,"870c",0,1,1,0,0,0,1,3,3.52,3.49,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Mathematics",1,"B"
"1810",1810,1810,1810,4374,"e0f8",0,3,2,0,0,1,0,1,2.12,2.09,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Physics",1,"D"
"1811",1811,1811,1811,4376,"6a9a",1,1,1,1,0,0,0,2.3,2.7,2.46,"BIO300",201710,693,0,1,0,0,0,2017,"5",0,"Computer Science",1,"C+"
"1812",1812,1812,1812,4380,"5898",1,6,0,1,0,1,1,3.3,2.99,3.05,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Biological Sciences",1,"B+"
"1813",1813,1813,1813,4387,"09ef",1,6,0,0,0,0,0,3,3.18,3.06,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Economics",1,"B"
"1814",1814,1814,1814,4389,"ad0a",1,3,2,0,0,0,0,1.7,2.83,2.87,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Finance",0,"C-"
"1815",1815,1815,1815,4391,"9acb",0,6,0,1,0,0,0,4,3.17,3.2,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Chemistry",1,"A"
"1816",1816,1816,1816,4392,"8dab",0,1,1,1,0,0,0,3.7,3.93,3.89,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Economics",1,"A-"
"1817",1817,1817,1817,4395,"f7f9",0,3,2,0,0,1,0,2.3,2.03,2.08,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Economics",1,"C+"
"1818",1818,1818,1818,4397,"c977",1,1,1,0,0,0,0,3,2.93,2.92,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"Communication",0,"B"
"1819",1819,1819,1819,4400,"39fe",1,3,2,1,0,0,0,3.3,3.81,3.78,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Biological Sciences",1,"B+"
"1820",1820,1820,1820,4401,"aa0d",0,1,1,1,1,1,1,3.3,2.95,2.94,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Chemistry",1,"B+"
"1821",1821,1821,1821,4404,"eade",1,3,2,0,0,0,0,4,3.91,3.9,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Business Management",0,"A"
"1822",1822,1822,1822,4408,"a485",1,3,2,0,0,1,0,3,2.9,2.95,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Finance",0,"B"
"1823",1823,1823,1823,4411,"57ea",1,3,2,1,0,0,0,4,3.97,3.97,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Economics",1,"A"
"1824",1824,1824,1824,4414,"353c",0,1,1,0,0,1,0,2.7,2,2.35,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Biological Sciences",1,"B-"
"1825",1825,1825,1825,4415,"d58e",0,6,0,0,0,0,0,3.7,2.98,2.98,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"Political Science",0,"A-"
"1826",1826,1826,1826,4416,"eb0b",1,3,2,0,0,0,0,2.7,2.71,2.95,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Computer Science",1,"B-"
"1827",1827,1827,1827,4420,"530e",0,3,2,0,1,0,0,2.7,3.13,3.24,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Chemistry",1,"B-"
"1828",1828,1828,1828,4421,"f348",1,3,2,0,0,0,0,3,3.68,3.7,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Computer Science",1,"B"
"1829",1829,1829,1829,4422,"b23f",1,6,0,0,0,1,0,3.7,NA,3.85,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"Communication",0,"A-"
"1830",1830,1830,1830,4425,"07e5",1,3,2,0,0,0,0,3,3.17,3.19,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Computer Science",1,"B"
"1831",1831,1831,1831,4429,"f22c",1,1,1,1,0,0,1,2,2.69,2.67,"BIO300",201703,703,0,1,0,0,0,2017,"2",0,"Biological Sciences",1,"C"
"1832",1832,1832,1832,4433,"47c4",0,6,0,0,0,0,0,3,2.93,2.98,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"English",0,"B"
"1833",1833,1833,1833,4435,"715f",1,3,2,0,0,0,0,4,3.53,3.58,"BIO300",201903,623,0,0,0,1,0,2019,"2",0,"Computer Science",1,"A"
"1834",1834,1834,1834,4436,"6e9e",0,6,0,0,0,0,0,3.3,3.33,3.23,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"Computer Science",1,"B+"
"1835",1835,1835,1835,4440,"588d",1,3,2,1,0,1,0,3.3,3.3,3.31,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Business Management",0,"B+"
"1836",1836,1836,1836,4441,"6a45",0,1,1,0,0,0,0,3,3.56,3.59,"BIO300",201610,637,0,1,0,0,0,2016,"5",0,"Mathematics",1,"B"
"1837",1837,1837,1837,4442,"4673",0,6,0,1,0,1,0,3,NA,2.14,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"English",0,"B"
"1838",1838,1838,1838,4445,"f6ef",1,6,0,0,0,1,0,2.3,2.6,2.69,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"Mathematics",1,"C+"
"1839",1839,1839,1839,4446,"a8e7",1,6,0,1,0,0,1,3.7,3.56,3.6,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"Mathematics",1,"A-"
"1840",1840,1840,1840,4448,"f757",0,3,2,0,0,0,0,1.7,2.69,2.69,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Psychology",0,"C-"
"1841",1841,1841,1841,4451,"1745",1,1,1,0,0,0,0,4,3.4,3.41,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Chemistry",1,"A"
"1842",1842,1842,1842,4453,"d490",1,3,2,0,0,0,0,4,3.56,3.52,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Political Science",0,"A"
"1843",1843,1843,1843,4458,"7cd5",1,6,0,1,0,1,0,3.3,2.87,3.28,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"Physics",1,"B+"
"1844",1844,1844,1844,4465,"ec06",1,6,0,0,0,0,0,4,3.48,3.47,"BIO300",201610,637,0,0,0,0,0,2016,"5",1,"Computer Science",1,"A"
"1845",1845,1845,1845,4466,"276a",1,3,2,0,0,0,0,3.3,3.59,3.61,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Business Management",0,"B+"
"1846",1846,1846,1846,4470,"a4ef",1,3,2,0,0,0,0,3.3,3.14,3.26,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Political Science",0,"B+"
"1847",1847,1847,1847,4475,"13e2",1,4,1,0,0,0,0,2.3,3.13,3.19,"BIO300",201610,637,1,0,0,0,0,2016,"5",0,"English",0,"C+"
"1848",1848,1848,1848,4476,"175c",1,3,2,1,0,0,1,2,2.97,3.07,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Computer Science",1,"C"
"1849",1849,1849,1849,4477,"1d98",1,3,2,0,0,0,0,4,3.39,3.38,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Physics",1,"A"
"1850",1850,1850,1850,4479,"cec0",1,3,2,1,0,0,1,0,3.2,3.21,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Communication",0,"F"
"1851",1851,1851,1851,4483,"7242",0,1,1,1,0,1,0,3.3,NA,2.9,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"English",0,"B+"
"1852",1852,1852,1852,4484,"9d90",0,6,0,1,0,1,0,3.7,NA,2.99,"BIO300",201610,637,0,0,0,0,0,2016,"5",1,"English",0,"A-"
"1853",1853,1853,1853,4487,"b6c1",0,3,2,0,1,0,0,3.3,3.26,3.36,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Physics",1,"B+"
"1854",1854,1854,1854,4490,"b1f0",0,3,2,0,1,1,0,1.7,2.5,2.32,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Business Management",0,"C-"
"1855",1855,1855,1855,4492,"c871",1,3,2,1,0,0,1,1,2.35,2.35,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Biological Sciences",1,"D"
"1856",1856,1856,1856,4495,"66ad",0,1,1,1,0,1,0,3.3,NA,3.28,"BIO300",201710,693,0,1,0,0,0,2017,"5",0,"Communication",0,"B+"
"1857",1857,1857,1857,4496,"56c6",1,3,2,1,0,1,0,3,3.14,3.1,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Physics",1,"B"
"1858",1858,1858,1858,4497,"459a",1,1,1,0,0,0,0,3.3,3.57,3.58,"BIO300",201610,637,0,1,0,0,0,2016,"5",0,"Communication",0,"B+"
"1859",1859,1859,1859,4501,"a661",1,6,0,0,0,0,0,0.7,3.48,3.51,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Political Science",0,"D-"
"1860",1860,1860,1860,4502,"75b0",1,1,1,0,0,0,0,2.7,2.99,2.92,"BIO300",201610,637,0,1,0,0,0,2016,"5",0,"Mathematics",1,"B-"
"1861",1861,1861,1861,4504,"5a5d",0,3,2,0,0,0,0,3,2.21,2.35,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Computer Science",1,"B"
"1862",1862,1862,1862,4505,"ba0d",1,6,0,0,0,0,0,1.7,2.7,2.7,"BIO300",201610,637,0,0,0,0,0,2016,"5",1,"English",0,"C-"
"1863",1863,1863,1863,4507,"f371",1,6,0,0,0,0,0,3.3,3.09,3.14,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"Biological Sciences",1,"B+"
"1864",1864,1864,1864,4510,"d567",0,6,0,0,0,1,1,2.7,2.16,2.23,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"Computer Science",1,"B-"
"1865",1865,1865,1865,4513,"c374",1,3,2,0,0,1,0,1.3,2.72,2.61,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Physics",1,"D+"
"1866",1866,1866,1866,4519,"48bc",1,3,2,0,0,1,1,3.3,NA,3.3,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Computer Science",1,"B+"
"1867",1867,1867,1867,4520,"3453",1,3,2,0,0,0,0,2,2.54,2.62,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Mathematics",1,"C"
"1868",1868,1868,1868,4524,"cd3d",0,6,0,0,0,0,0,4,3.71,3.72,"BIO300",201701,629,0,0,0,0,0,2017,"1",1,"Psychology",0,"A"
"1869",1869,1869,1869,4528,"517a",1,1,1,1,0,1,0,0,NA,2,"BIO300",201910,683,0,1,0,0,0,2019,"5",0,"Biological Sciences",1,"F"
"1870",1870,1870,1870,4529,"a975",1,3,2,0,0,0,0,1.3,2.71,2.64,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"English",0,"D+"
"1871",1871,1871,1871,4530,"1d81",1,6,0,0,0,1,0,2,2.54,2.66,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Physics",1,"C"
"1872",1872,1872,1872,4531,"0cce",1,3,2,1,0,0,1,2.3,2.33,2.07,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Biological Sciences",1,"C+"
"1873",1873,1873,1873,4536,"0509",1,6,0,1,0,1,1,4,3.95,3.92,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"Psychology",0,"A"
"1874",1874,1874,1874,4538,"58df",1,6,0,0,0,1,0,3,3.25,3.35,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Psychology",0,"B"
"1875",1875,1875,1875,4546,"e939",1,1,1,1,0,0,1,2.7,2.52,2.52,"BIO300",201810,680,0,1,0,0,0,2018,"5",0,"Economics",1,"B-"
"1876",1876,1876,1876,4548,"2a74",1,3,2,0,1,0,0,3,3.71,3.73,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Finance",0,"B"
"1877",1877,1877,1877,4549,"3e91",1,3,2,1,0,1,0,4,4,4,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Psychology",0,"A"
"1878",1878,1878,1878,4550,"8e63",1,3,2,1,0,0,1,1.7,2.48,2.44,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Communication",0,"C-"
"1879",1879,1879,1879,4558,"7712",0,3,2,0,1,1,1,2.7,2.77,2.81,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Biological Sciences",1,"B-"
"1880",1880,1880,1880,4559,"0691",0,3,2,0,0,0,1,3,3.36,3.37,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Communication",0,"B"
"1881",1881,1881,1881,4561,"265d",1,6,0,0,0,0,1,4,3.85,3.86,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Biological Sciences",1,"A"
"1882",1882,1882,1882,4563,"2efc",1,1,1,1,0,1,0,2,2.75,2.64,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Communication",0,"C"
"1883",1883,1883,1883,4564,"02eb",1,1,1,1,0,0,1,2,2.89,2.94,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Biological Sciences",1,"C"
"1884",1884,1884,1884,4565,"4d03",1,3,2,1,0,0,1,3,2.76,2.82,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Political Science",0,"B"
"1885",1885,1885,1885,4568,"9b97",0,6,0,0,0,0,0,3.7,3.6,3.62,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"Mathematics",1,"A-"
"1886",1886,1886,1886,4570,"b8c7",1,6,0,1,0,1,0,2,2.66,2.76,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Mathematics",1,"C"
"1887",1887,1887,1887,4571,"09b8",1,6,0,0,0,0,0,3.3,3.25,3.24,"BIO300",201610,637,0,0,0,0,0,2016,"5",1,"Physics",1,"B+"
"1888",1888,1888,1888,4575,"c049",1,1,1,0,0,1,0,3.3,3.23,3.27,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Communication",0,"B+"
"1889",1889,1889,1889,4580,"13fe",1,NA,0,0,0,0,0,4,3.94,3.93,"BIO300",201801,710,NA,NA,NA,NA,NA,2018,"1",NA,"Psychology",0,"A"
"1890",1890,1890,1890,4584,"935b",0,6,0,0,0,0,0,3.3,2.87,2.91,"BIO300",201810,680,0,0,0,0,0,2018,"5",1,"English",0,"B+"
"1891",1891,1891,1891,4586,"d8c8",1,1,1,0,0,1,0,2.3,NA,3.41,"BIO300",201610,637,0,1,0,0,0,2016,"5",0,"English",0,"C+"
"1892",1892,1892,1892,4588,"0218",1,1,1,0,0,0,0,3.7,2.79,2.8,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Physics",1,"A-"
"1893",1893,1893,1893,4597,"30b8",0,1,1,0,0,0,0,1,3.07,3.04,"BIO300",201710,693,0,1,0,0,0,2017,"5",0,"English",0,"D"
"1894",1894,1894,1894,4599,"4bb4",1,1,1,0,0,0,0,1,3.02,2.97,"BIO300",201701,629,0,1,0,0,0,2017,"1",0,"Economics",1,"D"
"1895",1895,1895,1895,4603,"b1ec",0,1,1,0,0,1,1,2,2.56,2.43,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Psychology",0,"C"
"1896",1896,1896,1896,4604,"8371",1,4,1,1,0,1,0,3,2.74,2.77,"BIO300",201901,799,1,0,0,0,0,2019,"1",0,"Psychology",0,"B"
"1897",1897,1897,1897,4605,"0353",0,3,2,0,1,0,0,2,2.57,2.58,"BIO300",201701,629,0,0,0,1,0,2017,"1",0,"Business Management",0,"C"
"1898",1898,1898,1898,4608,"87fe",1,1,1,1,0,0,0,4,3.61,3.62,"BIO300",201801,710,0,1,0,0,0,2018,"1",0,"Computer Science",1,"A"
"1899",1899,1899,1899,4609,"eb77",1,3,2,0,1,0,0,1.7,2.3,1.25,"BIO300",201903,623,0,0,0,1,0,2019,"2",0,"Economics",1,"C-"
"1900",1900,1900,1900,4611,"ce12",1,3,2,0,0,0,0,1.7,2.37,2.31,"BIO300",201710,693,0,0,0,1,0,2017,"5",0,"Biological Sciences",1,"C-"
"1901",1901,1901,1901,4612,"f1df",1,3,2,0,0,1,1,1.7,3.09,2.9,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Economics",1,"C-"
"1902",1902,1902,1902,4614,"7c59",1,3,2,0,0,0,0,2,3.03,3.02,"BIO300",201803,727,0,0,0,1,0,2018,"2",0,"Psychology",0,"C"
"1903",1903,1903,1903,4621,"b3f5",1,6,0,0,0,0,0,2.3,2.37,2.34,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Economics",1,"C+"
"1904",1904,1904,1904,4625,"99b3",1,6,0,0,0,0,0,4,3.9,3.91,"BIO300",201910,683,0,0,0,0,0,2019,"5",1,"Mathematics",1,"A"
"1905",1905,1905,1905,4632,"8cd6",1,3,2,1,0,0,0,2,3.5,3.53,"BIO300",201903,623,0,0,0,1,0,2019,"2",0,"Political Science",0,"C"
"1906",1906,1906,1906,4633,"8910",0,3,2,1,0,1,1,1.3,NA,2.14,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"Business Management",0,"D+"
"1907",1907,1907,1907,4634,"e86e",0,6,0,0,0,1,1,3,3.06,3.13,"BIO300",201801,710,0,0,0,0,0,2018,"1",1,"Physics",1,"B"
"1908",1908,1908,1908,4637,"1b41",1,6,0,0,0,0,0,3.3,3.48,3.48,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Communication",0,"B+"
"1909",1909,1909,1909,4638,"1353",0,1,1,0,0,1,0,3,3.7,3.69,"BIO300",201610,637,0,1,0,0,0,2016,"5",0,"Biological Sciences",1,"B"
"1910",1910,1910,1910,4639,"a18a",0,3,2,1,0,0,1,2.3,2.09,2.54,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Biological Sciences",1,"C+"
"1911",1911,1911,1911,4642,"dff4",0,3,2,0,0,0,0,3,3.28,3.39,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Chemistry",1,"B"
"1912",1912,1912,1912,4645,"c825",1,3,2,1,0,1,1,4,3.91,3.9,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"English",0,"A"
"1913",1913,1913,1913,4646,"e17e",1,3,2,1,0,0,0,2.7,3.32,3.34,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Communication",0,"B-"
"1914",1914,1914,1914,4648,"4e4a",1,3,2,1,0,0,0,2.3,2.72,2.65,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Mathematics",1,"C+"
"1915",1915,1915,1915,4649,"d55a",1,3,2,1,0,0,0,4,3.51,3.54,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Economics",1,"A"
"1916",1916,1916,1916,4652,"1b30",1,6,0,1,0,1,0,1.7,2.81,2.78,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Economics",1,"C-"
"1917",1917,1917,1917,4656,"bee2",1,3,2,1,0,0,0,1,2.44,2.42,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"English",0,"D"
"1918",1918,1918,1918,4657,"c12c",0,3,2,0,0,0,0,4,3.05,3.11,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Economics",1,"A"
"1919",1919,1919,1919,4658,"ff81",1,6,0,0,0,0,0,4,3.71,3.71,"BIO300",201903,623,0,0,0,0,0,2019,"2",1,"Business Management",0,"A"
"1920",1920,1920,1920,4660,"4798",1,3,2,0,0,1,0,3,3.34,3.24,"BIO300",201801,710,0,0,0,1,0,2018,"1",0,"Physics",1,"B"
"1921",1921,1921,1921,4662,"1775",1,3,2,0,0,0,0,3,2.84,2.93,"BIO300",201903,623,0,0,0,1,0,2019,"2",0,"Political Science",0,"B"
